stock1,stock2,correlation,adf_p_value,total_return,sharpe_ratio,max_drawdown,test_sharpe
BEN,BLK,0.9045466614430738,0.0019907736941453392,1.639451943282627,1.8644314580972163,-0.08060262120739636,1.4502525663101793
BEN,FITB,0.8388519700125815,0.033303259817478385,1.0610938996955945,1.7689120615895018,-0.07058148069452619,2.0029811323539897
OMF,VCTR,0.887072321119262,0.02388466698686932,3.159215534428694,1.7535582842945945,-0.14598842028619086,1.5239900356600165
BLK,STT,0.8552649627034498,0.0015748302792759467,946.2635508344812,1.7206846429890492,-0.49525515800935704,1.8817798855447185
MS,NDAQ,0.9117872879854896,0.0255213111841079,1.2742985422446038,1.6887948702257602,-0.12264346713410146,1.3660283533033748
AMG,BEN,0.9392099139879628,0.0005880836983466277,158.223217485894,1.622077033048015,-0.534123951405896,1.5870469137480556
GS,MS,0.9765689281807074,0.019449341083602724,4.878753333885222,1.6207741824346813,-0.27390808233615727,1.879193592823294
BEN,BK,0.9105492606804042,0.00028245740264654784,1.0810576298269536,1.60554481191374,-0.11028437089488996,1.5923839697568916
PNC,USB,0.9395536345140487,0.00810404215379984,8.708338537878591,1.5957994689957538,-0.21111018783147606,0.8804944886140369
BEN,VCTR,0.8675966726984222,0.01646874961153795,1.0717764931997191,1.5811146039328643,-0.07296629781321984,1.4512680093153951
BEN,GS,0.9212328511739116,0.00833788583890099,1.3271970420258214,1.574461327606021,-0.08377880399966475,1.391674948635462
BEN,OMF,0.9069398550948015,0.0018448834157641443,1.2526465274685266,1.5720726459369823,-0.12559978619104228,1.2810987640784766
CFG,PNC,0.97406482411193,0.015300189880691987,0.9729204749690701,1.5440065761800472,-0.07872269956674993,2.4193764273408207
MS,VCTR,0.9352887317387141,0.0026251545252462083,5.889295838809681,1.5206574061564244,-0.283252389456383,0.8693402799480451
GS,HIG,0.8871770608584079,0.03617605190080386,21.440925359455317,1.517935540831829,-0.30184621943156154,1.0424655265962077
IVZ,SYF,0.9460401756029392,0.003267147399820114,0.911671826210219,1.490265745513312,-0.09528345602855193,1.5491630725635952
ALL,TRV,0.8434786201506599,0.041080351494083976,0.5508344264130833,1.4673771804999223,-0.0722426881646222,1.6171932580162645
NDAQ,SCHW,0.8754254413016234,0.011757243253009279,1.1039973912235466,1.461130087268238,-0.1215131414123134,0.9050924989405243
AMG,STT,0.8401403723723667,0.003403743854734803,3.7568273890722397,1.4226966293407324,-0.1926886622673396,1.6217061537640542
RJF,WFC,0.8478733945245873,0.0014211486876450944,2.6391739703533386,1.4219331674423887,-0.14072179588061273,0.4484583813607272
